x,y,z,LevelNR
10,11,1,2
0,1,3,1
0,3,3,1
2,0,5,1
7,0,5,1
15,0,5,1
2,0,5,1
4,1,5,1
7,0,5,1
11,0,5,1
15,0,5,1
0,0,5,1
0,3,3,1
1,0,5,1
2,1,5,1
4,0,5,1
5,0,5,1
6,0,5,1
8,0,5,1
10,0,5,1
12,0,5,1
13,10,5,1
15,0,5,1
17,0,5,1
45,40,5,1
47,35,5,1
51,49,5,1
53,28,5,1
54,49,5,1
61,24,5,1
0,0,5,1
0,1,3,1
0,3,3,1
0,5,3,1
1,0,5,1
2,0,5,1
2,1,5,1
3,0,5,1
4,0,5,1
4,1,5,1
5,0,5,1
5,1,5,1
6,0,5,1
7,0,5,1
8,0,5,1
9,0,5,1
10,0,5,1
11,0,5,1
12,0,5,1
13,0,5,1
13,10,5,1
14,0,5,1
15,0,5,1
16,0,5,1
17,0,5,1
18,0,5,1
45,40,5,1
45,44,5,1
47,35,5,1
48,47,5,1
51,49,5,1
52,49,5,1
53,28,5,1
53,49,5,1
54,49,5,1
55,48,5,1
61,24,5,1
68,25,5,1
